127.0.0.1 - - [17/Jan/2018:09:46:50 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [17/Jan/2018:09:46:53 +0900] "GET /kokotown/ HTTP/1.1" 200 369
0:0:0:0:0:0:0:1 - - [17/Jan/2018:09:46:55 +0900] "GET /kokotown/StartAction.action HTTP/1.1" 200 3363
0:0:0:0:0:0:0:1 - - [17/Jan/2018:09:46:55 +0900] "GET /kokotown/css/search_bar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:09:46:55 +0900] "GET /kokotown/img/btn4.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:09:46:55 +0900] "GET /kokotown/img/input4.gif HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [17/Jan/2018:09:48:00 +0900] "GET /kokotown/css/cart.css HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [17/Jan/2018:09:48:01 +0900] "GET /kokotown/css/navivi.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:09:48:01 +0900] "GET /kokotown/img/kokotown.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:09:48:01 +0900] "GET /kokotown/img/bookBlue.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:09:48:01 +0900] "GET /kokotown/img/home.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:09:48:02 +0900] "GET /favicon.ico HTTP/1.1" 404 1041
0:0:0:0:0:0:0:1 - - [17/Jan/2018:09:52:30 +0900] "GET /kokotown/LoginMoveAction.action HTTP/1.1" 200 860
0:0:0:0:0:0:0:1 - - [17/Jan/2018:09:52:35 +0900] "POST /kokotown/LoginAction.action HTTP/1.1" 200 1086
0:0:0:0:0:0:0:1 - - [17/Jan/2018:09:52:36 +0900] "GET /kokotown/HomeMoveAction.action HTTP/1.1" 200 3367
0:0:0:0:0:0:0:1 - - [17/Jan/2018:09:52:36 +0900] "GET /kokotown/img/input4.gif HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [17/Jan/2018:09:52:38 +0900] "GET /kokotown/CartMoveAction.action HTTP/1.1" 200 3097
0:0:0:0:0:0:0:1 - - [17/Jan/2018:09:52:38 +0900] "GET /kokotown/css/cart.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:09:52:38 +0900] "GET /kokotown/css/navivi.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:09:52:38 +0900] "GET /kokotown/img/bookBlue.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:09:52:38 +0900] "GET /kokotown/img/kokotown.png HTTP/1.1" 200 55702
0:0:0:0:0:0:0:1 - - [17/Jan/2018:09:52:38 +0900] "GET /kokotown/img/home.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:09:53:50 +0900] "GET /kokotown/img/input4.gif HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [17/Jan/2018:09:53:52 +0900] "GET /kokotown/img/input4.gif HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [17/Jan/2018:09:53:54 +0900] "GET /kokotown/Home2MoveAction.action HTTP/1.1" 200 1877
0:0:0:0:0:0:0:1 - - [17/Jan/2018:09:53:54 +0900] "GET /kokotown/css/footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:09:53:54 +0900] "GET /kokotown/img/kokotown.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:09:53:54 +0900] "GET /kokotown/css/home.css HTTP/1.1" 200 2411
0:0:0:0:0:0:0:1 - - [17/Jan/2018:09:53:54 +0900] "GET /kokotown/img/cart.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:09:53:54 +0900] "GET /kokotown/img/kaimono.jpg HTTP/1.1" 304 -
